과목명,교수,전공,학년,학수번호,강의실,요일,강의시간
응용논리회로설계, 김태평," 전기공학과, 전자공, 전기전자공학부",3,BBPA12244,공C485,금,13-18
전자기학2, 양종렬," 전기공학과, 전자공, 전기전자공학부",3,BBPA12256,공C481-1,월,07-09
전자기학2, 양종렬," 전기공학과, 전자공, 전기전자공학부",3,BBPA12256,공C481-1,수,10-12
전자기학2, 양종렬," 전기공학과, 전자공, 전기전자공학부",3,BBPA12256,공C481-1,화,07-09
전자기학2, 양종렬," 전기공학과, 전자공, 전기전자공학부",3,BBPA12256,공C481-1,목,10-12
전자기학2, 양종렬," 전기공학과, 전자공, 전기전자공학부",3,BBPA12256,공C481-1,화,10-12
전자기학2, 양종렬," 전기공학과, 전자공, 전기전자공학부",3,BBPA12256,공C481-1,목,07-09
전자회로2, 김진태," 전기공학과, 전자공, 전기전자공학부",3,BBPA12260,공C485,월,07-09
전자회로2, 김진태," 전기공학과, 전자공, 전기전자공학부",3,BBPA12260,공C485,수,10-12
전자회로2, 채형일," 전기공학과, 전자공, 전기전자공학부",3,BBPA12260,공B566,월,10-12
전자회로2, 채형일," 전기공학과, 전자공, 전기전자공학부",3,BBPA12260,공B566,수,07-09
아날로그집적회로설계, 김진태," 전기공학과, 전자공, 전기전자공학부",4,BBPA46513,공C482,월,10-12
아날로그집적회로설계, 김진태," 전기공학과, 전자공, 전기전자공학부",4,BBPA46513,공C482,수,07-09
스마트그리드, 이두희," 전기공학과, 전자공, 전기전자공학부",4,BBPA51942,공C486,화,07-09
스마트그리드, 이두희," 전기공학과, 전자공, 전기전자공학부",4,BBPA51942,공C486,목,04-06
알고리즘응용, 김원준," 전기공학과, 전자공, 전기전자공학부",3,BBPA55560,새204,월,01-03
알고리즘응용, 김원준," 전기공학과, 전자공, 전기전자공학부",3,BBPA55560,새204,수,04-06
전력전자, 조영훈," 전기공학과, 전자공, 전기전자공학부",3,BBPA59353,공B366,화,10-12
전력전자, 조영훈," 전기공학과, 전자공, 전기전자공학부",3,BBPA59353,공B366,목,07-09
전력용반도체, 안형근," 전기공학과, 전자공, 전기전자공학부",4,BBPA59356,신공104,월,04-06
전력용반도체, 안형근," 전기공학과, 전자공, 전기전자공학부",4,BBPA59356,신공104,수,07-09
데이터통신, 김영범," 전기공학과, 전자공, 전기전자공학부",3,BBPA59361,공C485,화,10-12
데이터통신, 김영범," 전기공학과, 전자공, 전기전자공학부",3,BBPA59361,공C485,목,07-09
전동기제어, 조영훈," 전기공학과, 전자공, 전기전자공학부",4,BBPA59432,공C486,화,04-06
전동기제어, 조영훈," 전기공학과, 전자공, 전기전자공학부",4,BBPA59432,공C486,목,01-03
회로이론, 구현철," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",2,BBPA59433,공C482,화,01-03
회로이론, 구현철," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",2,BBPA59433,새204,목,04-06
회로이론, 구현철," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",2,BBPA59433,공C482,화,04-06
회로이론, 구현철," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",2,BBPA59433,새204,목,01-03
회로이론, 양종렬," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",2,BBPA59433,공C481-1,화,04-06
회로이론, 양종렬," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",2,BBPA59433,공C481-1,목,01-03
회로이론, 김종우," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",2,BBPA59433,공B371,화,10-12
회로이론, 김종우," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",2,BBPA59433,공B371,목,07-09
회로이론, 문경섭," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",2,BBPA59433,공B366,화,01-03
회로이론, 문경섭," 전기공학과, 디스플레이공학연계, 전자공, 전기전자공학부",2,BBPA59433,공B366,목,04-06
전력경제, 노재형," 전기공학과, 전자공, 전기전자공학부",4,BBPA59450,공B366,월,07-09
전력경제, 노재형," 전기공학과, 전자공, 전기전자공학부",4,BBPA59450,공B366,수,04-06
논리회로, 김준태," 전기공학과, 전자공, 전기전자공학부",2,BBPA59457,공C485,월,01-03
논리회로, 김준태," 전기공학과, 전자공, 전기전자공학부",2,BBPA59457,공C485,수,04-06
논리회로, 김준태," 전기공학과, 전자공, 전기전자공학부",2,BBPA59457,공C485,월,04-06
논리회로, 김준태," 전기공학과, 전자공, 전기전자공학부",2,BBPA59457,공C485,수,01-03
논리회로, 박성정," 전기공학과, 전자공, 전기전자공학부",2,BBPA59457,신공B106,화,07-09
논리회로, 박성정," 전기공학과, 전자공, 전기전자공학부",2,BBPA59457,신공B106,목,10-12
논리회로, 최영호," 전기공학과, 전자공, 전기전자공학부",2,BBPA59457,공B371,수,04-06
논리회로, 최영호," 전기공학과, 전자공, 전기전자공학부",2,BBPA59457,공B371,금,07-09
논리회로, 최영호," 전기공학과, 전자공, 전기전자공학부",2,BBPA59457,공B371,수,07-09
논리회로, 최영호," 전기공학과, 전자공, 전기전자공학부",2,BBPA59457,공B371,금,04-06
멀티미디어프로그래밍, 이기승," 전기공학과, 전자공, 전기전자공학부",4,BBPA61141,공C485,화,04-06
멀티미디어프로그래밍, 이기승," 전기공학과, 전자공, 전기전자공학부",4,BBPA61141,공C485,목,01-03
임베디드자료구조, 김원준," 전기공학과, 전자공, 전기전자공학부",3,BBPA61142,새204,월,04-06
임베디드자료구조, 김원준," 전기공학과, 전자공, 전기전자공학부",3,BBPA61142,새204,수,01-03
물리화학실험, 민요셉," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA05557,신공815,목,13-19
물리화학실험, 주지봉," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA05557,공B270,화,13-19
분석화학, 김세현," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA05562,공D231,화,04-06
분석화학, 김세현," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA05562,공D231,목,01-03
분석화학, 최명석," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA05562,공B555,화,04-06
분석화학, 최명석," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA05562,공B555,목,01-03
유기화학1, 고문주," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA05579,공A204,화,10-12
유기화학1, 고문주," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA05579,공A204,목,07-09
유기화학1, 고준석," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA05579,공D232,월,01-03
유기화학1, 고준석," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA05579,공D232,수,04-06
유기화학1, 김봉기," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA05579,공D231,월,16-18
유기화학1, 김봉기," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA05579,공D231,수,16-18
유기화학1, 유영태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA05579,공A204,월,01-03
유기화학1, 유영태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA05579,공A204,수,04-06
유기화학1, 이정걸," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA05579,공D232,화,16-18
유기화학1, 이정걸," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",2,BBQA05579,공D232,목,16-18
표면화학, 이위형," 디스플레이공학연계, 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA05594,공B555,월,01-03
표면화학, 이위형," 디스플레이공학연계, 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA05594,공B555,수,04-06
분체공학, 유용호," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA05639,공A204,수,10-12
분체공학, 유용호," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA05639,공A204,목,13-15
이동현상, 홍순혁," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",4,BBQA05652,공A204,화,13-18
화공열역학2, 박정태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA05673,공D233,화,13-15
화공열역학2, 박정태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA05673,공D233,목,13-15
화공열역학2, 박정태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",3,BBQA05673,공D233,월,13-15
